Timestamp	Call	MHz	SNR	Drift	Grid	Pwr	Reporter	RGrid	km	az	GLat	GLong	RLat	RLong
2017-12-13T18:08:00Z	ZS6HAK	7.040187	-22	-4	KG43av	10	9A5CZI	JN85as	8084	351	-26.125	28.0	45.75	16.0
2017-12-13T18:08:00Z	ZS6HAK	7.040117	-25	-4	KG43av	10	EB3EI	JN11fm	7968	340	-26.125	28.0	41.5	2.4166666666666665
2017-12-13T18:18:00Z	ZS6HAK	7.040117	-25	-4	KG43av	10	EB3EI	JN11fm	7968	340	-26.125	28.0	41.5	2.4166666666666665
2017-12-13T18:22:00Z	ZS6HAK	7.040155	-13	-4	KG43av	10	DK6UG	JN49cm	8636	347	-26.125	28.0	49.5	8.166666666666666
2017-12-13T18:22:00Z	ZS6HAK	7.040153	-26	-4	KG43av	10	HS0ZKM	OK03gr	8997	70	-26.125	28.0	13.708333333333334	100.5
2017-12-13T18:22:00Z	ZS6HAK	7.040155	-11	-4	KG43av	10	DH5RAE	JN68qv	8466	350	-26.125	28.0	48.875	13.333333333333334
2017-12-13T18:22:00Z	ZS6HAK	7.040162	-27	-4	KG43av	10	G4PCI	IO81xj	9106	342	-26.125	28.0	51.375	-2.083333333333333
2017-12-13T18:22:00Z	ZS6HAK	7.040160	-21	-4	KG43av	10	PA4O	JO33gh	9072	347	-26.125	28.0	53.291666666666664	6.5
2017-12-13T18:22:00Z	ZS6HAK	7.040162	-25	-4	KG43av	10	ON7KO	JO21ce	8906	345	-26.125	28.0	51.166666666666664	4.166666666666667
2017-12-13T18:22:00Z	ZS6HAK	7.040156	-21	-4	KG43av	10	9K2/VO1DZA	LL49bc	6502	21	-26.125	28.0	29.083333333333332	48.083333333333336
2017-12-13T18:22:00Z	ZS6HAK	7.040158	-26	-4	KG43av	10	VU3KAZ	MK82tu	6892	57	-26.125	28.0	12.833333333333334	77.58333333333333
2017-12-13T18:22:00Z	ZS6HAK	7.040155	-16	-4	KG43av	10	SWLJO43	JO43xh	9002	349	-26.125	28.0	53.291666666666664	9.916666666666666
2017-12-13T18:22:00Z	ZS6HAK	7.040156	-18	-4	KG43av	10	LX1DQ	JN39cq	8700	346	-26.125	28.0	49.666666666666664	6.166666666666667
2017-12-13T18:22:00Z	ZS6HAK	7.040118	-18	-4	KG43av	10	F5VBD	JN25xo	8281	344	-26.125	28.0	45.583333333333336	5.916666666666667
2017-12-13T18:22:00Z	ZS6HAK	7.040134	-19	-4	KG43av	10	OE5AFP	JN78dh	8388	351	-26.125	28.0	48.291666666666664	14.25
2017-12-13T18:22:00Z	ZS6HAK	7.040155	-14	-4	KG43av	10	OZ7IT	JO65df	9168	351	-26.125	28.0	55.208333333333336	12.25
2017-12-13T18:22:00Z	ZS6HAK	7.040157	-17	-4	KG43av	10	PI4THT	JO32kf	8951	347	-26.125	28.0	52.208333333333336	6.833333333333333
2017-12-13T18:22:00Z	ZS6HAK	7.040155	-13	-4	KG43av	10	DK4BM	JO43jg	9020	348	-26.125	28.0	53.25	8.75
2017-12-13T18:22:00Z	ZS6HAK	7.040157	-25	-4	KG43av	10	VK5MR	PF89kk	10172	125	-26.125	28.0	-30.583333333333332	136.83333333333334
2017-12-13T18:22:00Z	ZS6HAK	7.040144	-15	-4	KG43av	10	DK6UG	JN49cm	8636	347	-26.125	28.0	49.5	8.166666666666666
2017-12-13T18:22:00Z	ZS6HAK	7.040161	-24	-4	KG43av	10	DL1KAI	JO42vj	8908	349	-26.125	28.0	52.375	9.75
2017-12-13T18:22:00Z	ZS6HAK	7.040152	-18	-4	KG43av	10	DL0HT	JO43jb	8998	348	-26.125	28.0	53.041666666666664	8.75
2017-12-13T18:22:00Z	ZS6HAK	7.040156	-22	-4	KG43av	10	DF2JP	JO31hh	8860	347	-26.125	28.0	51.291666666666664	6.583333333333333
2017-12-13T18:22:00Z	ZS6HAK	7.040160	-19	-4	KG43av	10	HB9FKP	JN36su	8370	346	-26.125	28.0	46.833333333333336	7.5
2017-12-13T18:22:00Z	ZS6HAK	7.040161	-16	-4	KG43av	10	G0LUJ	IO83qv	9372	342	-26.125	28.0	53.875	-2.666666666666667
2017-12-13T18:22:00Z	ZS6HAK	7.040159	-14	-4	KG43av	10	DF6MK	JN68ik	8428	350	-26.125	28.0	48.416666666666664	12.666666666666666
2017-12-13T18:22:00Z	ZS6HAK	7.040153	-17	-2	KG43av	10	9A5CZI	JN85as	8084	351	-26.125	28.0	45.75	16.0
2017-12-13T18:22:00Z	ZS6HAK	7.040162	-27	-4	KG43av	10	DC5AL-R	JO31lk	8866	347	-26.125	28.0	51.416666666666664	6.916666666666667
2017-12-13T18:22:00Z	ZS6HAK	7.040112	-24	-2	KG43av	10	EB3EI	JN11fm	7968	340	-26.125	28.0	41.5	2.4166666666666665
2017-12-13T18:22:00Z	ZS6HAK	7.040160	-26	-4	KG43av	10	PA0EHG	JO22hb	8986	346	-26.125	28.0	52.041666666666664	4.583333333333333
2017-12-13T18:22:00Z	ZS6HAK	7.040192	-20	-4	KG43av	10	DL/PA0EHG	JO32sq	8984	348	-26.125	28.0	52.666666666666664	7.5
2017-12-13T18:22:00Z	ZS6HAK	7.040176	-12	-4	KG43av	10	DL0HMK	JO54af	9098	349	-26.125	28.0	54.208333333333336	10.0
2017-12-13T18:28:00Z	ZS6HAK	7.040135	-20	-4	KG43av	10	OE5AFP	JN78dh	8388	351	-26.125	28.0	48.291666666666664	14.25
2017-12-13T18:28:00Z	ZS6HAK	7.040114	-24	-4	KG43av	10	OE5DLH	JN78fh	8385	351	-26.125	28.0	48.291666666666664	14.416666666666666
2017-12-13T18:28:00Z	ZS6HAK	7.040157	-16	-4	KG43av	10	LX1DQ	JN39cq	8700	346	-26.125	28.0	49.666666666666664	6.166666666666667
2017-12-13T18:28:00Z	ZS6HAK	7.040120	-20	-4	KG43av	10	F5VBD	JN25xo	8281	344	-26.125	28.0	45.583333333333336	5.916666666666667
2017-12-13T18:28:00Z	ZS6HAK	7.040146	-23	-3	KG43av	10	M0GVW	IO92hg	9173	342	-26.125	28.0	52.25	-1.4166666666666665
2017-12-13T18:28:00Z	ZS6HAK	7.040157	-26	-4	KG43av	10	LX1DQ	JN39cq	8700	346	-26.125	28.0	49.666666666666664	6.166666666666667
2017-12-13T18:28:00Z	ZS6HAK	7.040157	-17	-4	KG43av	10	SWLJO43	JO43xh	9002	349	-26.125	28.0	53.291666666666664	9.916666666666666
2017-12-13T18:28:00Z	ZS6HAK	7.040159	-16	-4	KG43av	10	PI4THT	JO32kf	8951	347	-26.125	28.0	52.208333333333336	6.833333333333333
2017-12-13T18:28:00Z	ZS6HAK	7.040153	-19	-3	KG43av	10	9A5CZI	JN85as	8084	351	-26.125	28.0	45.75	16.0
2017-12-13T18:28:00Z	ZS6HAK	7.040161	-19	-4	KG43av	10	PA4O	JO33gh	9072	347	-26.125	28.0	53.291666666666664	6.5
2017-12-13T18:28:00Z	ZS6HAK	7.040157	-14	-4	KG43av	10	DK4BM	JO43jg	9020	348	-26.125	28.0	53.25	8.75
2017-12-13T18:28:00Z	ZS6HAK	7.040162	-24	-4	KG43av	10	DL1KAI	JO42vj	8908	349	-26.125	28.0	52.375	9.75
2017-12-13T18:28:00Z	ZS6HAK	7.040163	-12	-4	KG43av	10	G0LUJ	IO83qv	9372	342	-26.125	28.0	53.875	-2.666666666666667
2017-12-13T18:28:00Z	ZS6HAK	7.040194	-19	-4	KG43av	10	DL/PA0EHG	JO32sq	8984	348	-26.125	28.0	52.666666666666664	7.5
2017-12-13T18:28:00Z	ZS6HAK	7.040154	-19	-4	KG43av	10	DL0HT	JO43jb	8998	348	-26.125	28.0	53.041666666666664	8.75
2017-12-13T18:28:00Z	ZS6HAK	7.040145	-14	-4	KG43av	10	DK6UG	JN49cm	8636	347	-26.125	28.0	49.5	8.166666666666666
2017-12-13T18:28:00Z	ZS6HAK	7.040156	-13	-4	KG43av	10	DK6UG	JN49cm	8636	347	-26.125	28.0	49.5	8.166666666666666
2017-12-13T18:28:00Z	ZS6HAK	7.040132	-15	-4	KG43av	10	OH6IJ	KP12wv	9903	358	-26.125	28.0	62.875	23.833333333333332
2017-12-13T18:28:00Z	ZS6HAK	7.040158	-28	-4	KG43av	10	G6FOV	IO70wm	9089	340	-26.125	28.0	50.5	-4.166666666666667
2017-12-13T18:28:00Z	ZS6HAK	7.040165	-26	-4	KG43av	10	DC5AL-R	JO31lk	8866	347	-26.125	28.0	51.416666666666664	6.916666666666667
2017-12-13T18:28:00Z	ZS6HAK	7.040161	-24	-4	KG43av	10	PA0EHG	JO22hb	8986	346	-26.125	28.0	52.041666666666664	4.583333333333333
2017-12-13T18:28:00Z	ZS6HAK	7.040157	-21	-4	KG43av	10	SM6KIW	JO67ds	9442	352	-26.125	28.0	57.75	12.25
2017-12-13T18:28:00Z	ZS6HAK	7.040166	-30	-4	KG43av	10	PD1RA	JO22xf	8972	347	-26.125	28.0	52.208333333333336	5.916666666666667
2017-12-13T18:28:00Z	ZS6HAK	7.040156	-15	-4	KG43av	10	OZ7IT	JO65df	9168	351	-26.125	28.0	55.208333333333336	12.25
2017-12-13T18:28:00Z	ZS6HAK	7.040163	-27	-4	KG43av	10	G4PCI	IO81xj	9106	342	-26.125	28.0	51.375	-2.083333333333333
2017-12-13T18:28:00Z	ZS6HAK	7.040178	-13	-4	KG43av	10	DL0HMK	JO54af	9098	349	-26.125	28.0	54.208333333333336	10.0
2017-12-13T18:28:00Z	ZS6HAK	7.040160	-13	-4	KG43av	10	DF6MK	JN68ik	8428	350	-26.125	28.0	48.416666666666664	12.666666666666666
2017-12-13T18:28:00Z	ZS6HAK	7.040158	-27	-4	KG43av	10	VK5MR	PF89kk	10172	125	-26.125	28.0	-30.583333333333332	136.83333333333334
2017-12-13T18:28:00Z	ZS6HAK	7.040113	-24	-3	KG43av	10	EB3EI	JN11fm	7968	340	-26.125	28.0	41.5	2.4166666666666665
2017-12-13T18:28:00Z	ZS6HAK	7.040161	-24	-4	KG43av	10	DK7FD	JO41qi	8805	348	-26.125	28.0	51.333333333333336	9.333333333333334
2017-12-13T18:28:00Z	ZS6HAK	7.040156	-11	-4	KG43av	10	DH5RAE	JN68qv	8466	350	-26.125	28.0	48.875	13.333333333333334
2017-12-13T18:28:00Z	ZS6HAK	7.040157	-21	-4	KG43av	10	DF2JP	JO31hh	8860	347	-26.125	28.0	51.291666666666664	6.583333333333333
2017-12-13T18:28:00Z	ZS6HAK	7.040157	-12	-4	KG43av	10	DJ0ABR	JN68nt	8461	350	-26.125	28.0	48.791666666666664	13.083333333333334
2017-12-13T18:28:00Z	ZS6HAK	7.040158	-23	-4	KG43av	10	9K2/VO1DZA	LL49bc	6502	21	-26.125	28.0	29.083333333333332	48.083333333333336
2017-12-13T18:28:00Z	ZS6HAK	7.040164	-22	-4	KG43av	10	ON7KO	JO21ce	8906	345	-26.125	28.0	51.166666666666664	4.166666666666667
2017-12-13T18:28:00Z	ZS6HAK	7.040159	-23	-4	KG43av	10	VU3KAZ	MK82tu	6892	57	-26.125	28.0	12.833333333333334	77.58333333333333
2017-12-13T18:28:00Z	ZS6HAK	7.040183	-29	-4	KG43av	10	PA3ANG	JO32am	9000	347	-26.125	28.0	52.5	6.0
2017-12-13T18:40:00Z	ZS6HAK	7.040118	-27	-4	KG43av	10	EB3EI	JN11fm	7968	340	-26.125	28.0	41.5	2.4166666666666665
2017-12-13T18:40:00Z	ZS6HAK	7.040158	-18	-4	KG43av	10	9A5CZI	JN85as	8084	351	-26.125	28.0	45.75	16.0
2017-12-13T18:48:00Z	ZS6HAK	7.040156	-15	-4	KG43av	10	9A5CZI	JN85as	8084	351	-26.125	28.0	45.75	16.0
2017-12-13T18:56:00Z	ZS6HAK	7.040149	-22	-4	KG43av	10	M0GVW	IO92hg	9173	342	-26.125	28.0	52.25	-1.4166666666666665
2017-12-13T18:56:00Z	ZS6HAK	7.040116	-26	-4	KG43av	10	EB3EI	JN11fm	7968	340	-26.125	28.0	41.5	2.4166666666666665
2017-12-13T18:56:00Z	ZS6HAK	7.040165	-24	-3	KG43av	10	OK3COM	JN89on	8482	353	-26.125	28.0	49.541666666666664	17.166666666666668
2017-12-13T19:08:00Z	ZS6HAK	7.040113	-26	-4	KG43av	5	OE5DLH	JN78fh	8385	351	-26.125	28.0	48.291666666666664	14.416666666666666
2017-12-13T19:08:00Z	ZS6HAK	7.040156	-27	-4	KG43av	5	SWLJO43	JO43xh	9002	349	-26.125	28.0	53.291666666666664	9.916666666666666
2017-12-13T19:08:00Z	ZS6HAK	7.040156	-24	-4	KG43av	5	LX1DQ	JN39cq	8700	346	-26.125	28.0	49.666666666666664	6.166666666666667
